id,biz_name,Description,website,Tier,Cash,Card,Member Charge,Member Charge Only,description
9536,"Zuid Limburgse Golf & Country Club, De",,https://zlgolf.nl/,,,,,,
9537,"Geysteren, Golf & Country Club",,,,,,,,
9538,"Herkenbosch, Burggolf",,,,,,,,
9539,"Crossmoor, Golf & Country Club",,https://www.domeinlaurabos.com/crossmoor-golf/,,,,,,
9540,Golf en Country Club Lauswolt,,,,,,,,
9541,"Princenbosch, Golfclub",,https://princenbosch.nl/,,,,,,
9543,Golfpark de Efteling,,,,,,,,
9544,Noord-Brabantsche Golfclub Toxandria,,,,,,,,
9546,Oosterhoutse Golf Club,,https://www.oosterhoutse.nl/,,,,,,
9547,Eindhovensche Golfclub,,,,,,,,
9548,"Grevelingenhout, Golfclub",,https://www.grevelingenhout.nl/,,,,,,
9549,"Wouwse Plantage, Golfclub",,,,,,,,
9551,"Brugse Vaart, Golfclub",,,,,,,,
9556,Noordwijkse Golfclub,,https://www.noordwijksegolfclub.nl/,,,,,,
9557,"Capelle/Ijssel, Golf & Country Club",,https://www.golfclubcapelle.nl/,,,,,,
9558,Rijswijkse Golfclub,,,,,,,,
9559,"Cromstrijen, Golfclub",,https://golfclubcromstrijen.nl/nl,,,,,,
9560,Koninklijke Haagsche Golf & Countryclub,,,,,,,,
9563,Botado Golf - Atlantico Golf Hotel,,,,,,,,
9564,Oporto Golf Club,,https://www.oportogolfclub.com/pt/,,,,,,
9565,"Palheiro Golf - Soc. Turistica Palheiro Golf, S.A.",,,,,,,,
9566,Pinheiros Altos Campo de Golfe,,,,,,,,
9568,"Palmares, Campo de Golfe de",,,,,,,,
9569,The Gramacho Course at Pestana Golf & Resort Carvoeiro,,,,,,,,
9570,The East + South Course at Vilamoura - Laguna Course,,,,,,,,
9571,"Vilasol, Clube de Golfe de",,,,,,,,
9572,"Quinta da Marinha, Club de Golfe",,,,,,,,
9573,"Parque da Floresta, Clube de Golfe",,,,,,,,
9574,"Estoril, Clube de Golfe do",,,,,,,,
9575,The Ocean Course at Vale do Lobo Resort,,,,,,,,
9576,The Royal Course at Vale do Lobo Resort,,,,,,,,
9577,"Aroeira, Clube de Campo da",,,,,,,,
9578,Estoril-Sol,,,,,,,,
