id,biz_name,Description,website,Tier,Cash,Card,Member Charge,Member Charge Only,description
9900,Royal Dornoch Golf Club,"One of Scotland's most famous traditional links courses, Royal Dornoch Championship Links lies in the Scottish Highlands. An Old Tom Morris design from the 19th century, there is evidence of golf being played on these grounds dating back to 1616. This was also the club where renowned golf course architect Donald Ross grew up, learning the trade he would later take to the United States. Playing Dornoch offers a glimpse into where Ross got his crowned green style he's become famous for at courses like Pinehurst No. 2.",https://royaldornoch.com/,,,,,,
9901,Kingsknowe Golf Club,"West of Edinburgh, Kingsknowe Golf Club is easily reached by anywhere in Scotland thanks to the Edinburgh City Bypass. The 1902 Open champion Alec Herd originally designed the golf course. It was later redesigned by none other than James Braid. It is a parkland golf course laid above and within valleys of hills that roll gently - and on the ground where Oliver Cromwell gathered his army gathered to bombard Redhall Castle in 1650.These hills define the Kingsknowe Golf Club's beautiful fairways, lined by cherry trees that require clever golfers to launch their balls to heavily guarded - and comparatively small - greens. The course features many difficult dogleg par-4s, and claims as its marquee hole the 460-yard par-4 16th.After wrapping up on another of the Kingsknowe Golf Club's par-4s, the 297-yard Hame, retire to the restaurant and watch others battle the green.",https://www.kingsknowe.com/,,,,,,
9902,Edzell Golf Club,,https://www.edzellgolfclub.com/,,,,,,
9903,"Golf House Club, The","The Golf House Club, Elie does not possess a specific course architect or design, rather the course has been consistently evolving throughout the centuries to reflect the changes in the natural linksland. The organic evolution of the golf course has provided a unique layout that is one of the area's ""must-plays."" There are no par 5s and only two par 3s, which are balanced by short but interesting par 4s, a half dozen blind shots, and four consecutive seaside holes that represent some of the best golf in Fife. Golfers are quickly thrown into the golf course's challenges with the opening hole, which requires a tricky blind shot over a hill some 50 yards off of the tee. The prevailing winds coming in from the Firth of Forth add another formidable element to the game.",https://www.golfhouseclub.co.uk/,,,,,,
9904,Forfar Golf Club,,https://www.forfargolfclub.co.uk/,,,,,,
9905,Garmouth & Kingston Golf Club,,https://gkgctest.wordpress.com/,,,,,,
9906,Wigtownshire County Golf Club,"Wigtownshire County Golf Club, an 18-hole, true links course situated on the shores of Luce Bay, is one of the most popular holiday golf courses in southwest Scotland.The excellent condition of the Wigtownshire County course, combined with subtly sloping greens and changing sea breezes, provide a test of golf for both high and low handicappers. The area enjoys a temperate climate, making golf possible all year long.There are three short holes, and one par-5, the 528-yard sixth hole.The Wigtownshire County course was officially opened in 1894, and the second nine holes opened in May of 1987.",https://wigtownshirecountygolfclub.com/,,,,,,
9908,Gullane Golf Club (The #1 Course at Gullane Golf Club),"Gullane Golf Club's No. 1 course, one of several East Lothian golf courses, might get lost in the shadow of its famous neighbors, if it weren't such a great championship course in its own right. Gullane No. 1 is an Open qualifying course and jointly hosted the 1998 British Amateur Championship, won by Sergio Garcia. Over the years, Gullane has hosted the British Boys Championships, the Youths Championship, the Scottish Strokeplay, and the British Ladies Championship.The first hole, a fairly benign par-4, requires only a solid drive and a short iron for the approach. Don't get false confidence: the second might be the course's hardest, with a tight tee shot, uphill-all-the-way play, and frequent wind. Take in the view of the village of Gullane from the 17th tee, and finish off the 350-year-old golf course.Gullane Golf Club welcomes more than 30,000 visiting golfers per year, and the clubhouse provides ample refreshment; for bar food and a pub vibe, hit up the nearby The Auld Clubhouse.",https://www.gullanegolfclub.co.uk/,,,,,,
9909,The Roxburghe Golf Course,Formerly known as The Roxburghe Hotel and Golf Course.,https://roxburghe-golf.com/en/home,,,,,,
9910,Helensburgh Golf Club,"Helensburgh Golf Club was founded in August 1893 as a nine-hole layout. By 1905, the golf course had been extended to 18 holes. In the 1920s, James Braid devised many changes, some of which are still in place today.Nestled on the shore of the Clyde River, Helensburgh is easily accessible, only 23 miles north west of Glasgow. The golf course is situated above the town, with fine views over the Clyde estuary to the west and Loch Lomond to the east.The par-69 golf course is 6,104 yards long. Helensburgh Golf Club's 175-yard third hole is considered the signature hole, with out-of-bounds on the left, woods beyond and a pond in the front of the green, which slopes from back to front and helps stop the ball.",https://www.helensburghgolfclub.co.uk/,,,,,,
