id,biz_name,Description,website,Tier,Cash,Card,Member Charge,Member Charge Only,description
4,Boulder Creek Golf & Country Club,,https://www.bouldercreekgolf.com/,,,,,,
5,Road Runner Club,,https://www.roadrunnerclub.com/,,,,,,
6,Rams Hill Country Club,,,,,,,,
7,De Anza Desert Country Club,Also known as De Anza Desert Country Club.,https://www.deanzacountryclub.com/,,,,,,
9,Palms Course at Borrego Springs Resort & Country Club,,,,,,,,
12,Feather River Park Resort,"Nestled in the heart of the High Sierras at an elevation of 4,300 feet, Feather River Park Resort's nine-hole golf course offers stunning views of meadows, canyons, and dozens of lakes that are scattered throughout the rustic countryside of the Mohawk Valley. Sand and grass bunkers complement the strategic mounding across the gently rolling landscape of the course, making ball placement a top priority in scoring well. This wooded golf course has pine trees lining its fairways and a water hazard coming into play. For avid golfers, Feather River Park Resort provides a challenging practice round for the two championship 18-hole courses that are nearby.",https://www.featherriverparkresort.com/,,,,,,
13,Feather River Inn Golf Club & Resort,,,,,,,,
14,Bodega Harbour Golf Links,,,,,,,,
16,Bishop Country Club,,https://bishopcountryclub.com/,,,,,,
17,Big Bear Mountain Golf Course,,https://www.bigbearmountainresort.com/,,,,,,
20,First Nine/Second Nine Course at Bermuda Dunes Country Club,,,,,,,,
22,RECCE Point Golf Course,,,,,,,,
25,Tees & Trees Golf Course,,,,,,,,
27,1 Country Club Rd,,,,,,,,
28,Sun Lakes Country Club Executive Course,,https://www.sunlakescc.com/,,,,,,
29,Sun Lakes Country Club,,,,,,,,
30,Sundale Country Club,,https://sundalecc.net/,,,,,,
31,Stockdale Country Club,,http://www.stockdalecountryclub.com/,,,,,,
32,Seven Oaks Country Club,,https://www.sevenoakscountryclub.com/,,,,,,
33,Rio Bravo Country Club,,https://www.riobravocountryclub.com/,,,,,,
38,Bakersfield Country Club,,https://www.bakersfieldcountryclub.com/,,,,,,
39,Avila Beach Resort,"Avila Beach Golf Resort is located right along the bay, giving it a scenic setting that has made it the most well known of the Central Coast golf courses. The layout offers plenty of variety with a hilly front nine that features small, often elevated, greens that are surrounded by oak-lined valleys and a back nine that that is routed across a tidal estuary. Golfers should be prepared for forced carries over water and multi-tiered greens on the backside. At first the course may seem short, but thanks to the dramatic elevation changes and numerous other challenges, it will begin to feel much longer. There are several severe doglegs throughout as well as tight approaches. Avila Beach Golf Resort is not a layout where you can easily ""grip it and rip it."" Rather, accuracy and good course-management are rewarded.",https://www.avilabeachresort.com/,,,,,,
42,"Ridge Golf Course, The",,https://baltimoregolfing.com/course/diamond-ridge,,,,,,
43,Lake of the Pines Country Club,,https://www.lop.org/,,,,,,
47,Auburn Valley Country Club,,,,,,,,
50,Rancho Del Rey Golf Club,,https://www.ranchordr.com/,,,,,,
53,Sequoia Woods Country Club,,https://www.sequoiawoods.com/,,,,,,
55,Baywood Golf & Country Club,,https://baywoodgcc.com/,,,,,,
56,Arbuckle Golf Club,,http://arbucklegolfclub.org/,,,,,,
59,Seascape Golf Club,"Originally Rio Del Mar Country Club, Seascape Golf Club is a classic 18-hole layout perched on the coast highlands of the Monterey Peninsula. Opened in 1926, the course was actually shut down during World War II when it served as a “victory garden” to help grow crops for the nation's war effort. After the war it came back with its new name, but old charm. The golf course is just a half mile from the Pacific Ocean, but it's largely protected by Monterey pines and eucalyptus trees that surround it. Seascape Golf Club features well maintained fairways, strategically placed bunkers and small, tricky greens.",https://seascapegc.com/,,,,,,
61,Apple Valley Country Club,,https://www.applevalleygolfwv.com/,,,,,,
64,Greenhorn Creek Resort Golf Course,,https://www.greenhorncreek.com/,,,,,,
74,Round Hill Golf & Country Club,,https://www.rhcountryclub.com/,,,,,,
75,Lindero Country Club,,https://lakelinderogolf.com/,,,,,,
76,River Creek Course at Sierra Meadows Country Club,,,,,,,,
82,Eagle's Nest Country Club at Pebble Creek Resort,"The golf course at the Eagle's Nest Country Club is a scenic course with a design that calls for most of the holes to play straightaway. The course meanders through hills thick with forestry, but it is relatively flat. The large, undulating greens are well protected by bunkers and the fairways are tree-lined and some are doglegs, making shot accuracy a top priority. All of the water hazards run alongside the fairways as well. To add even more challenge, some of the greens and tees are elevated. The Eagle's Nest Country Club is open to all out of town guests and there is a putting green and chipping area.",https://robson.com/,,,,,,
83,Mountain Brook Golf Club,"Nestled at the base of the Superstition Mountains, Mountainbrook Golf Club offers a player-friendly course with beautiful views of mountains and desert hills. Given its location, the golf course is mostly flat, making it a nice walk. The layout combines that of a desert course and a mountain course for an interesting variety of holes and challenges. The fairways are relatively wide and some are lined with trees and the fairly large greens are sloped and fast. Sand bunkers are situated throughout the course and two lakes create water hazards that come into play on the back nine. Mountainbrook Golf Club's signature hole is the par-5 16th, which has a dogleg left fairway and a green that is well guarded by bunkers and mounding.",https://www.mountainbrookgolf.com/,,,,,,
85,Cobre Valle Country Club,,http://www.cobrevallecc.com/,,,,,,
87,Apache Stronghold Golf Course,,,,,,,,
94,Bellaire Golf Course,Previously known as Centennial Farm Golf Club and Farm Golf Club.,https://www.golfthecentennial.com/,,,,,,
95,Arizona Traditions Golf Club,"Arizona Traditions Golf Club offers a parkland style golf course that has panoramic views of the White Tank Mountains. An enhancement project for the course in 1998 put in an abundance of trees, shrubs, and flowers on the course. Although it has a short layout, the golf course is quite challenging with difficult sloped greens and rolling fairways lined with forestry. Rolling hills, extensive greenside and fairway mounding, and water hazards provide an interesting game. Five sets of tee boxes ensure that golfers of all skill levels can enjoy the course. Arizona Traditions Golf Club also has a driving range, chipping area, and putting green for golfers to use.",http://www.arizonatraditionsgolfclub.com/,,,,,,
101,Mountain View Golf Course,,https://www.mvgolfclub.com/,,,,,,
102,Meadow Course at Forest Highlands Golf Club,,,,,,,,
103,Flagstaff Ranch Golf Club,,https://www.flagstaffranch.com/,,,,,,
104,Aspen Valley Golf Club,,https://www.aspenvalleygolf.com/,,,,,,
106,Columbine Country Club,"Columbine Country Club boasts an 18-hole, championship-length course as well as a nine-hole, par-3 course. Golf architect Henry Hughes designed this private, par-72 course that offers 7,440 yards of golf. Located in the city of Littleton, this course has consistently been ranked as one of the top ten private courses in Colorado by publications like Golf Digest and Colorado Golf Magazine. Since 1988, it has been host to the U.S. Open Qualifying. Columbine Country Club is ideal for families since adults can enjoy the championship course while kids can take on the par-3 course or enjoy the other amenities at the facility, such as the pool or tennis courts.",https://www.golfpass.com/travel-advisor/xgo/4198,,,,,,
108,Pueblo El Mirage RV Resort & Country Club,,,,,,,,
112,Prescott Golf & Country Club,,https://www.prescottgolfclub.com/,,,,,,
113,Santa Rita Golf Club,,https://www.golfclubsantarita.com.br/,,,,,,
115,Concho Valley Country Club,,,,,,,,
116,Devil's Claw Course at Whirlwind at Gila River Resort,,,,,,,,
117,Sunbird Golf Resort,"The course at the Sunbird Golf Resort is a desert-style course that offers three sets of tee boxes to accommodate most skill levels. This executive length golf course has a country club-type atmosphere and offers a good round of golf. The greens are medium sized with some that are multi-tiered and narrow fairways. Bunkers and trees are also present on the course, adding some challenge since they can greatly affect shots. Water hazards also come into play on a few holes. In addition to the executive course at Sunbird Golf Resort, the facility also offers a putting area and chipping green as well as a fully stocked pro shop.",https://www.sunbirdgolf.com/,,,,,,
119,Sheraton San Marcos Country Club,,,,,,,,
121,Lone Tree Golf Club,"Located close to the San Tan Mountains, the course at the Lone Tree Golf Club offers not only a good game but also beautiful mountain views. This championship golf course was done in a traditional desert-style with rolling fairways and fast greens that are large and undulating. There are also several sand bunkers that protect both the fairways and the greens. Water hazards come into play on five holes and extensive mounding adds further challenge. The course features four sets of tee boxes to accommodate golfers of all skill levels. Lone Tree Golf Club boasts extensive practice facilities including a targeted grass range, a large putting green, and a short game area with a sand bunker.",https://www.lonetreegolf18.com/,,,,,,
122,Ironwood Country Club,,https://www.ironwoodcountryclub.com/,,,,,,
123,Tatum Ranch Golf Club,"The course at Tatum Ranch Golf Club is a true desert course due to its placement adjacent to the beautiful Sonoran Desert. The course has a target-style design that features subtly rolling fairways and greens that are large and undulating. Water hazards come into play, some in the form of ponds. There are also several sand bunkers strategically placed throughout but especially around the greens. The course is a challenge, but it offers a fun, fair game for golfers of all skill levels. Its location near residential areas causes the occasional appearance of homes on the course. Tatum Ranch Golf Club's signature hole is the par-3 11th hole, which requires great control. Although the hole is not long, it is difficult with a narrow, guarded green.",https://www.tatumranchgc.com/,,,,,,
124,Rancho Manana Golf Club,"Rancho Manana Golf Club has one of the prettier courses in Cave Creek-Scottsdale, located high in the Sonora and combining vistas with testing golf. It offers a par-70 championship golf course laid out over elevations that change dramatically right up alongside the untouched desert and the indigenous wildlife that comes with that, as well as an old-school dude ranch that has been incorporated into the golf resort. Low-handicap golfers will be challenged by the golf course, but it's not so tough that other levels of golfer will be turned away.The Rancho Manana Golf Club offers golf to the public and is conveniently located just 20 minutes off the highway.After a round of golf at the Rancho Manana Golf Club, stick around for around and maybe some eats at the Tonto Bar & Grill, which has received several awards and is listed among Arizona's top 100 restaurants.",https://ranchomanana.com/,,,,,,
128,Francisco Grande Hotel & Golf Resort,,https://www.franciscogrande.com/,,,,,,
