id,biz_name,e_address,e_city,e_state,e_postal,e_zip_full,e_country,loc_county,loc_area_code,loc_FIPS,loc_MSA,loc_PMSA,loc_TZ,loc_DST,loc_LAT_centroid,loc_LAT_poly,loc_LONG_centroid,loc_LONG_poly,biz_phone,metal_spikes,play_five,c_holes,c_type,year_built,c_designer,c_season,guest_policy,dress_code,green_fees,weekend_rates,adv_tee,Description,website,Tier,Cash,Card,Member Charge,Member Charge Only,description
4,Boulder Creek Golf & Country Club,16901 Big Basin Hwy,Boulder Creek,CA,95006,,USA,Santa Cruz,831,6087,,7485,PST,Y,37.1694,37.1538084,-122.1537,-122.1614662,(831) 338-2121,N,Y,18,Resort,1961,Jack Fleming,Open all year,Open,No tank tops or cutoffs,$22 - $40,$40 wknd,7 days,,https://www.golfpass.com/travel-advisor/xgo/15522,,,,,,
5,Road Runner Club,1010 Palm Canyon Dr,Borrego Springs,CA,92004,,USA,San Diego,760,6073,7320,,PST,Y,33.2758,33.260928,-116.2884,-116.361555,(760) 767-5374,N,N,18,Semi-private,1970,,Open all year,Open,No tank tops or cutoffs,$20 ,$20 wknd,Yes,,https://www.golfpass.com/travel-advisor/xgo/3619,,,,,,
6,Rams Hill Country Club,1881 Rams Hill Rd,Borrego Springs,CA,92004,,USA,San Diego,760,6073,7320,,PST,Y,33.2758,33.193944,-116.2884,-116.323749,(760) 767-5125,N,Y,18,Private,1982,Ted Robinson,Open all year,Open,"No denim, collared shirt and bermuda shor required",,$105 wknd,7 days,,,,,,,,
7,De Anza Desert Country Club,509 Catarina Dr,Borrego Springs,CA,92004,,USA,San Diego,760,6073,7320,,PST,Y,33.2758,33.2906213,-116.2884,-116.3845555,(760) 767-5577,Y,Y,18,Private,1959,Lawrence Hughes,Open all year,Closed,"No denim, collared shirt and bermuda shor required",$60 ,$60 wknd,7 days,Also known as De Anza Desert Country Club.,https://www.golfpass.com/travel-advisor/xgo/3620,,,,,,
9,Palms Course at Borrego Springs Resort & Country Club,1112 Titling T Dr,Borrego Springs,CA,92004,,USA,San Diego,760,6073,7320,,PST,Y,33.2758,33.2558717,-116.2884,-116.375012,(760) 767-3330,Y,Y,27,Resort,1998,Cary Bickler,Open all year,Open,"No denim, collared shirt and bermuda shor required",$35 - $64,,,,,,,,,,
12,Feather River Park Resort,8339 California 89,Blairsden,CA,96103,,USA,Plumas,530,6063,,,PST,Y,39.7722,39.7781247,-120.711,-120.62121,(530) 836-2328,N,Y,9,Resort,1923,Bert Stamps,May 1 to Oct 10,Open,Shirt and shoes required,$16 -$18,$18 wknd,Yes,"Nestled in the heart of the High Sierras at an elevation of 4,300 feet, Feather River Park Resort's nine-hole golf course offers stunning views of meadows, canyons, and dozens of lakes that are scattered throughout the rustic countryside of the Mohawk Valley. Sand and grass bunkers complement the strategic mounding across the gently rolling landscape of the course, making ball placement a top priority in scoring well. This wooded golf course has pine trees lining its fairways and a water hazard coming into play. For avid golfers, Feather River Park Resort provides a challenging practice round for the two championship 18-hole courses that are nearby.",https://www.golfpass.com/travel-advisor/xgo/3616,,,,,,
13,Feather River Inn Golf Club & Resort,Hwy 70 at Feather River Inn Rd,Blairsden,CA,96103,,USA,Plumas,530,6063,,,PST,Y,39.7722,39.7810095,-120.711,-120.6166077,(530) 836-2722,N,Y,9,Resort,1919,Harold Sampson,Apr 1 to Nov 1,Open,Shirt and shoes required,$12 - $18,$18 wknd,7 days,,,,,,,,
14,Bodega Harbour Golf Links,21301 Heron Dr,Bodega Bay,CA,94923,,USA,Sonoma,707,6097,,7500,PST,Y,38.3575,38.3137945,-123.0437,-123.0275894,(707) 875-3538,N,Y,18,Semi-private,1977,"Robert Trent Jones, Jr.",Open all year,Open,"Collared shirt, no cutoffs, denim ok",$60 - $90,$90 wknd,90 days,,,,,,,,
16,Bishop Country Club,200 U.S. 395,Bishop,CA,93514,,USA,Inyo,760,6027,,,PST,Y,37.4772,37.3621701,-118.401,-118.3952127,(760) 873-5828,Y,Y,18,Semi-private,1963,Joe Williams,Open all year,Open,No tank tops or cutoffs,$20 - $32,$32 wknd,7 days,,https://www.golfpass.com/travel-advisor/xgo/3614,,,,,,
17,Big Bear Mountain Golf Course,43100 Goldmine Dr,Big Bear Lake,CA,92305,,USA,San Bernardino,909,6071,,6780,PST,Y,34.1811,34.228427,-116.9286,-116.8614161,(909) 585-8002,N,Y,9,Resort,1921,,Apr 15 to Nov 15,Open,"Collared shirt, no other requirements",$20 - $32,$32 wknd,1 days,,https://www.golfpass.com/travel-advisor/xgo/124,,,,,,
20,First Nine/Second Nine Course at Bermuda Dunes Country Club,42360 Adams St,Bermuda Dunes,CA,92203,,USA,Riverside,760,6065,,6780,PST,Y,33.7719,33.7371989,-116.2794,-116.279986,(760) 360-2481,Y,Y,27,Private,1960,William F. Bell,Open all year (closed on Mondays),Closed,"No denim, collared shirt and bermuda shor required",$80 ,,,,,,,,,,
22,RECCE Point Golf Course,17350 Warren Shingle Rd,Beale AFB,CA,95903,,USA,Yuba,530,6115,9340,,PST,Y,39.123,39.11299,-121.3919,-121.4080001,(530) 788-0192,Y,N,18,Military,1958,,Open all year,Open,Shirt and shoes required,$12 - $20,$20 wknd,7 days,,,,,,,,
25,Tees & Trees Golf Course,Marine Corps Logistics Base Barstow,Barstow,CA,92311,,USA,San Bernardino,760,6071,,6780,PST,Y,35.1476,34.868511,-117.2068,-116.9558067,(760) 577-6431,N,N,9,Military,1956,,Open all year (closed on Mondays),Open,No tank tops or cutoffs,$7 - $13,$13 wknd,7 days,,,,,,,,
27,1 Country Club Rd,Country Club Dr,Avalon,CA,90704,,USA,Los Angeles,310,6037,,4480,PST,Y,33.382,33.3412686,-118.4331,-118.3319978,(310) 510-0530,Y,N,9,Semi-private,1925,John Duncan Dunn,Open all year,Open,Shirt and shoes required,$27 - $48,,,,,,,,,,
28,Sun Lakes Country Club Executive Course,545 Twin Hills Dr,Banning,CA,92220,,USA,Riverside,951,6065,,6780,PST,Y,33.9464,33.9216399,-116.8543,-116.935726,(909) 769-8444,N,N,9,Semi-private,1996,David Rainville,Open all year,Open,"No denim, collared shirt and bermuda shor required",$8 - $16,$16 wknd,Yes,,https://www.golfpass.com/travel-advisor/xgo/3604,,,,,,
29,Sun Lakes Country Club,850 Country Club Dr,Banning,CA,92220,,USA,Riverside,951,6065,,6780,PST,Y,33.9464,33.917327,-116.8543,-116.939832,(909) 845-2135,N,N,18,Semi-private,1987,David Rainville,Open all year,Open,"No denim, collared shirt and bermuda shor required",$32 - $50,$50 wknd,4 days,,,,,,,,
30,Sundale Country Club,6218 Sundale Ave,Bakersfield,CA,93309,,USA,Kern,661,6029,680,,PST,Y,35.3416,35.346161,-119.0649,-119.069673,(661) 831-5224,Y,N,18,Semi-private,1962,,Open all year,Open,"No denim, collared shirt and bermuda shor required",$15 - $30,$30 wknd,7 days,,https://www.golfpass.com/travel-advisor/xgo/3599,,,,,,
31,Stockdale Country Club,7001 Stockdale Hwy,Bakersfield,CA,93309,,USA,Kern,661,6029,680,,PST,Y,35.3416,35.3542043,-119.0649,-119.0798123,(661) 832-0587,Y,N,18,Private,1925,Lloyd Tevis,Apr 1 to Nov 1 (closed on Mondays),Reciprocal,"No denim, collared shirt and bermuda shor required",$30 - $60,$60 wknd,Yes,,https://www.golfpass.com/travel-advisor/xgo/3601,,,,,,
32,Seven Oaks Country Club,2000 Grand Lakes Ave,Bakersfield,CA,93311,,USA,Kern,661,6029,680,,PST,Y,35.171,35.333683,-119.201,-119.118799,(661) 664-6474,Y,N,18,Private,1991,Robert Muir Graves,Open all year (closed on Mondays),Reciprocal,"Collared shirt, no cutoffs, denim OK",$30 - $60,$42 wknd,7 days,,https://www.golfpass.com/travel-advisor/xgo/34762,,,,,,
33,Rio Bravo Country Club,15200 Casa Club Dr,Bakersfield,CA,93306,,USA,Kern,661,6029,680,,PST,Y,35.5144,35.404523,-118.8194,-118.837604,(661) 871-4653,Y,Y,18,Private,1979,Robert Muir Graves,Open all year,Reciprocal,"No denim, collared shirt and bermuda shor required",$25 - $50,$50 wknd,14 days,,https://www.golfpass.com/travel-advisor/xgo/121,,,,,,
38,Bakersfield Country Club,4200 Country Club Dr,Bakersfield,CA,93306,,USA,Kern,661,6029,680,,PST,Y,35.5144,35.393864,-118.8194,-118.939154,(661) 871-4121,Y,N,18,Private,1949,William F. & William P. Bell,Open all year (closed on Mondays),Reciprocal,"No denim, collared shirt and bermuda shor required",$100 ,$16 wknd,Yes,,https://www.golfpass.com/travel-advisor/xgo/122,,,,,,
39,Avila Beach Resort,6464 Ana Bay Rd,San Luis Obispo,CA,93405,,USA,San Luis Obispo,805,6079,7460,,PST,Y,35.2783,35.1821292,-120.7414,-120.7386174,(805) 595-4000,N,Y,18,Resort,1969,Olin Dutra,Open all year,Open,"No denim, collared shirt and bermuda shor required",$47 - $62,$42 wknd,7 days,"Avila Beach Golf Resort is located right along the bay, giving it a scenic setting that has made it the most well known of the Central Coast golf courses. The layout offers plenty of variety with a hilly front nine that features small, often elevated, greens that are surrounded by oak-lined valleys and a back nine that that is routed across a tidal estuary. Golfers should be prepared for forced carries over water and multi-tiered greens on the backside. At first the course may seem short, but thanks to the dramatic elevation changes and numerous other challenges, it will begin to feel much longer. There are several severe doglegs throughout as well as tight approaches. Avila Beach Golf Resort is not a layout where you can easily ""grip it and rip it."" Rather, accuracy and good course-management are rewarded.",https://www.golfpass.com/travel-advisor/xgo/14520,,,,,,
42,"Ridge Golf Course, The",2020 Golf Course Rd,Auburn,CA,95602,,USA,Placer,530,6061,,6920,PST,Y,38.9886,38.948505,-121.1171,-121.076974,(530) 888-7888,Y,N,18,Semi-private,1999,"Robert Trent Jones, Jr.",Open all year,Open,"No denim, collared shirt and bermuda shor required",$25 - $55,$54 wknd,7 days,,https://www.golfpass.com/travel-advisor/xgo/712,,,,,,
43,Lake of the Pines Country Club,11665 Lakeshore N,Auburn,CA,95602,,USA,Placer,530,6061,,6920,PST,Y,38.9886,39.0406066,-121.1171,-121.0664384,(530) 269-1544,N,N,18,Private,1978,,Open all year,Reciprocal,"No denim, collared shirt and bermuda shor required",$11 - $20,$20 wknd,7 days,,https://www.golfpass.com/travel-advisor/xgo/3594,,,,,,
47,Auburn Valley Country Club,8800 Auburn Valley Rd,Auburn,CA,95602,,USA,Placer,530,6061,,6920,PST,Y,38.9886,39.01017,-121.1171,-121.145579,(530) 269-1837,Y,Y,18,Private,1958,Bob Bissett & Larry Curtola,Open all year (closed on Mondays),Reciprocal,"No denim, collared shirt and bermuda shor required",$25 - $60,$60 wknd,7 days,,,,,,,,
50,Rancho Del Rey Golf Club,5250 Green Sands Ave,Atwater,CA,95301,,USA,Merced,209,6047,4940,,PST,Y,37.2953,37.343882,-120.6669,-120.582259,(209) 358-7131,Y,N,18,Semi-private,1955,Bob E. Baldock,Open all year,Open,Shirt and shoes required,$10 - $22,$22 wknd,7 days,,https://www.golfpass.com/travel-advisor/xgo/3591,,,,,,
53,Sequoia Woods Country Club,1000 Cypress Point Dr,Arnold,CA,95223,,USA,Calaveras,209,6009,,,PST,Y,38.3677,38.25048,-120.2145,-120.326845,(209) 795-2141,N,Y,18,Private,1963,Bob E. Baldock,Open all year,Reciprocal,"Collared shirt, no other requirements",$20 - $35,$35 wknd,14 days,,https://www.golfpass.com/travel-advisor/xgo/118,,,,,,
55,Baywood Golf & Country Club,3600 Buttermilk Ln,Arcata,CA,95521,,USA,Humboldt,707,6023,,,PST,Y,40.8501,40.8480788,-124.0389,-124.0484951,(707) 822-3688,N,N,18,Private,1958,Bob E. Baldock,Open all year (closed on Mondays),Closed,Shirt and shoes required,$12.50 - $25,$25 wknd,7 days,,https://www.golfpass.com/travel-advisor/xgo/3587,,,,,,
56,Arbuckle Golf Club,Hillgate Rd,Arbuckle,CA,95912,,USA,Colusa,530,6011,,,PST,Y,39.0052,39.0126452,-122.0135,-122.0981203,(530) 476-2470,N,Y,9,Semi-private,1960,,Open all year,Open,No tank tops or cutoffs,$15 - $25,$25 wknd,7 days,,https://www.golfpass.com/travel-advisor/xgo/3586,,,,,,
59,Seascape Golf Club,610 Clubhouse Dr,Aptos,CA,95003,,USA,Santa Cruz,831,6087,,7485,PST,Y,37.0137,36.9665751,-121.8774,-121.8830967,(831) 688-3214,N,Y,18,Semi-private,1900,Garrett & David Gill,Open all year,Open,No tank tops or cutoffs,$60 - $80,$80 wknd,7 days,"Originally Rio Del Mar Country Club, Seascape Golf Club is a classic 18-hole layout perched on the coast highlands of the Monterey Peninsula. Opened in 1926, the course was actually shut down during World War II when it served as a “victory garden” to help grow crops for the nation's war effort. After the war it came back with its new name, but old charm. The golf course is just a half mile from the Pacific Ocean, but it's largely protected by Monterey pines and eucalyptus trees that surround it. Seascape Golf Club features well maintained fairways, strategically placed bunkers and small, tricky greens.",https://www.golfpass.com/travel-advisor/xgo/15193,,,,,,
61,Apple Valley Country Club,15200 Rancherias Rd,Apple Valley,CA,92307,,USA,San Bernardino,760,6071,,6780,PST,Y,34.5744,34.526878,-117.1146,-117.23033,(760) 242-3125,Y,Y,18,,1951,William F. & William P. Bell,Open all year,Reciprocal,"No denim, collared shirt and bermuda shor required",$35 - $40,$14 wknd,Yes,,https://www.golfpass.com/travel-advisor/xgo/13523,,,,,,
64,Greenhorn Creek Resort Golf Course,676 McCauley Ranch Rd,Angels Camp,CA,95222,,USA,Calaveras,209,6009,,,PST,Y,38.0709,38.0662302,-120.6436,-120.5539553,(209) 736-8111,Y,Y,18,Semi-private,1996,"Robert Trent Jones, Jr.",Open all year,Open,"No denim, collared shirt and bermuda shor required",$20 - $75,$75 wknd,7 days,,https://www.golfpass.com/travel-advisor/xgo/115,,,,,,
74,Round Hill Golf & Country Club,3169 Roundhill Rd,Alamo,CA,94507,,USA,Contra Costa,925,6013,,5775,PST,Y,37.8493,37.8550622,-122.0236,-122.0092259,(925) 837-7424,N,Y,18,Private,0,,Open all year (closed on Mondays),Closed,"No denim, collared shirt and bermuda shor required",$25 - $100,$50 wknd,Yes,,https://www.golfpass.com/travel-advisor/xgo/3580,,,,,,
75,Lindero Country Club,5719 Lake Lindero Dr,Agoura Hills,CA,91301,,USA,Los Angeles,818,6037,,4480,PST,Y,34.1403,34.155086,-118.7625,-118.789472,(818) 889-1158,Y,N,18,Semi-private,1970,Ted Robinson,Open all year,Open,"Collared shirt, no cutoffs, denim ok",$8 - $16,$16 wknd,6 days,,https://www.golfpass.com/travel-advisor/xgo/15797,,,,,,
76,River Creek Course at Sierra Meadows Country Club,46516 Opah Dr,Ahwahnee,CA,93601,,USA,Madera,559,6039,2840,,PST,Y,37.3853,37.362838,-119.7489,-119.703876,(559) 642-1343,Y,Y,27,Semi-private,1990,,Open all year,Open,"Collared shirt, no other requirements",$28 - $30,,,,,,,,,,
82,Eagle's Nest Country Club at Pebble Creek Resort,3645 Clubhouse Dr,Goodyear,AZ,85395,,USA,,,,,,,U,,33.486771,,-112.388824,,N,Y,18,Semi-private,1993,Keith Foster,Open all year,Open,"No denim, collared shirt and bermuda shorts required",$11.00-$22.00,$22 wknd,2 days,"The golf course at the Eagle's Nest Country Club is a scenic course with a design that calls for most of the holes to play straightaway. The course meanders through hills thick with forestry, but it is relatively flat. The large, undulating greens are well protected by bunkers and the fairways are tree-lined and some are doglegs, making shot accuracy a top priority. All of the water hazards run alongside the fairways as well. To add even more challenge, some of the greens and tees are elevated. The Eagle's Nest Country Club is open to all out of town guests and there is a putting green and chipping area.",https://www.golfpass.com/travel-advisor/xgo/15667,,,,,,
83,Mountain Brook Golf Club,5783 S Mountainbrook Dr,Gold Canyon,AZ,85118,,USA,,,,,,,U,,33.3650427,,-111.4606911,(480) 671-1000,N,Y,18,Semi-private,1996,Brian Whitcomb,Open all year,Open,Shirt and shoes required,$65.00 ,$10 wknd,Yes,"Nestled at the base of the Superstition Mountains, Mountainbrook Golf Club offers a player-friendly course with beautiful views of mountains and desert hills. Given its location, the golf course is mostly flat, making it a nice walk. The layout combines that of a desert course and a mountain course for an interesting variety of holes and challenges. The fairways are relatively wide and some are lined with trees and the fairly large greens are sloped and fast. Sand bunkers are situated throughout the course and two lakes create water hazards that come into play on the back nine. Mountainbrook Golf Club's signature hole is the par-5 16th, which has a dogleg left fairway and a green that is well guarded by bunkers and mounding.",https://www.golfpass.com/travel-advisor/xgo/15665,,,,,,
85,Cobre Valle Country Club,Apache Trail,Globe,AZ,85501,,USA,Gila,928,4007,,,MST,N,33.5677,33.4962749,-110.7249,-110.8655038,(520) 473-2542,N,N,9,Semi-private,1927,,Open all year,Open,No tank tops or cutoffs,$15.00-$25.00,$25 wknd,1 days,,https://www.golfpass.com/travel-advisor/xgo/14695,,,,,,
87,Apache Stronghold Golf Course,U.S. 70,Globe,AZ,85501,,USA,Gila,928,4007,,,MST,N,33.5677,33.3722693,-110.7249,-110.7346481,(520) 812-1872,Y,Y,18,Private,1999,Tom Doak,Open all year,Open,No tank tops or cutoffs,$49-$70,$70 wknd,7 days,,,,,,,,
94,Bellaire Golf Course,17233 N 45th Ave,Glendale,AZ,85308,,USA,Maricopa,623,4013,6200,,MST,N,33.6643,33.651421,-112.1813,-112.15744,(602) 978-6850,N,N,18,Semi-private,1973,"Lawrence, Hardin & Nash",Open all year,Open,No dress code,$10-$15,$15 wknd,7 days,Previously known as Centennial Farm Golf Club and Farm Golf Club.,https://www.golfpass.com/travel-advisor/xgo/7372,,,,,,
