id,biz_name,Description,website,Tier,Cash,Card,Member Charge,Member Charge Only,description
10001,North Course at La Costa Resort & Spa,"Located north of San Diego in Carlsbad, Omni La Costa Resort & Spa is a legendary golf and wellness getaway in southern California. The resort, which opened in the 1950s, has hosted 37 elite PGA Tour events. The North Course (formerly known as Champions Course) features a serene setting that meanders through peaceful wetlands over landscaped bridges and rolling hills. The course underwent a significant renovation in 2011 by Steve Pate, Damian Pascuzzo and Jeff Brauer, which included four brand new holes and improved irrigation and soil for improved course conditions year-round.Formerly known as Omni La Costa Resort & Spa - Champions Course",https://www.omnihotels.com/hotels/san-diego-la-costa/golf/champions-course,,,,,,
10006,Arroyo/Lake Course at Cathedral Canyon Country Club,,,,,,,,
10008,Date Palm Springs Country Club,,,,,,,,
10009,El Cielo/La Vista Course at Desert Princess Country Club,,,,,,,,
10010,Eighteen Hole Executive Course at Outdoor Resort & Country Club,,,,,,,,
10013,Highland Springs Village Golf Club,,,,,,,,
10016,Butte Creek Country Club,,https://www.golfpass.com/travel-advisor/xgo/3657,,,,,,
10017,Canyon Oaks Country Club,,https://www.golfpass.com/travel-advisor/xgo/133,,,,,,
10020,Western Hills Golf & Country Club,,https://www.golfpass.com/travel-advisor/xgo/3662,,,,,,
10022,Sunrise Golf Course,Formerly known as Sunrise Falls Municipal Golf Course.,https://www.golfpass.com/travel-advisor/xgo/5855,,,,,,
10023,Babe Didrikson Zaharias Course at Industry Hills Pacific Palms Resort,,https://www.golfpass.com/travel-advisor/xgo/15031,,,,,,
10025,Oakhurst Country Club,,https://www.golfpass.com/travel-advisor/xgo/1829,,,,,,
10026,"Dragon at Gold Mountain, The",,,,,,,,
10027,"Dragon Golf Course, The","Nakoma Golf Resort (previously known as The Dragon at Gold Mountain) is a scenic wonder that will help golfers realize what's so special about Reno and the High Sierras as a golf destination. Challenging play team with unbelievable scenery, giving players a day on the links they won't soon forget.Playing to more than 7,000 yards from the back tees, Nakoma will challenge even scratch golfers with an imposing slope rating of 147. With five tee settings, however, Nakoma Golf Resort has proven to be a golf course that will delight all levels of golfers, as its combination of hazards and risk-reward opportunities make it a challenge worth taking.But the scenery doesn't end on the golf course at Nakoma, which features spa villas and other amenities for golf travelers. Add to that a remarkable clubhouse designed by the legendary architect Frank Lloyd Wright, and you'll easily see why Nakoma Golf Resort has its own special place in the Reno and High Sierras golf scene.",https://www.golfpass.com/travel-advisor/xgo/155,,,,,,
10028,"Golf Club at Whitehawk Ranch, The","Set in the scenic Mohawk Valley, Whitehawk Ranch Golf Club was designed by Dick Bailey and has been ranked as one of the 20 best golf courses in California by <em>Golf Digest.</em> Just a short drive from the golf destinations of Reno and Tahoe, Whitehawk has gained a well-earned reputation as one of the must plays of the High Sierra region.The layout and scenery are the biggest stars of Whitehawk, as Bailey used the natural landscape top carve a course that will take you through steams, waterfalls and ponds, as well as a variety of trees, including pines, cedars and aspens.But golfers will need to keep their eye on the ball as much as the scenery, as Whitehawk plays to nearly 7,000 yards from the back tees with an imposing 130 slope rating. The neat fairways and tricky greens will challenge golfers of all levels, while there are plenty of risk-reward opportunities for daring players. All told, Whitehawk is a High Sierra standout.",https://www.golfpass.com/travel-advisor/xgo/135,,,,,,
10030,Yosemite Lakes Park Golf Course,,https://www.golfpass.com/travel-advisor/xgo/3667,,,,,,
10031,Adam Springs Golf Course,,https://www.golfpass.com/travel-advisor/xgo/3668,,,,,,
10034,Colusa Golf & Country Club,,https://www.golfpass.com/travel-advisor/xgo/3672,,,,,,
10038,Auburn Lake Trails Golf Course,,https://www.golfpass.com/travel-advisor/xgo/3676,,,,,,
10039,Saddle Creek Golf Club,,https://www.golfpass.com/travel-advisor/xgo/12567,,,,,,
10046,Mesa Verde Country Club,,https://www.golfpass.com/travel-advisor/xgo/3680,,,,,,
10047,North Course at Coto de Caza Golf & Racquet Club,,https://www.golfpass.com/travel-advisor/xgo/3683,,,,,,
10049,Del Norte Golf Club,,https://www.golfpass.com/travel-advisor/xgo/3685,,,,,,
10054,Destroyer Course at Seal Beach Navy Golf Course,"The Navy Golf Course Seal Beach is a 27-hole facility that includes the championship Destroyer Course and the nine-hole executive Cruiser Course. The 6,780-yard Destroyer Course presents a challenge even for low handicappers with a slew of hazards coming into play throughout. The small greens have challenging slopes ranging from subtle breaks to dramatic drop-offs. To make them even tougher, you'll find strategically placed bunkers lurking along the edges. The tricky doglegs, which are mostly par 4s, will force you to think carefully about your club selection, and to top it all off, water makes an appearance on almost every hole. It's a long golf course that feels even longer due to the rolling terrain, but it is more forgiving than it seems with long, wide fairways that won't penalize you for being slightly errant.",https://www.golfpass.com/travel-advisor/xgo/3690,,,,,,
10055,Lake Merced Golf Club,,https://www.golfpass.com/travel-advisor/xgo/3691,,,,,,
10056,Monarch Beach Golf Links,"Playing at Monarch Beach Golf Links will bring to mind the great traditions of Scottish links golf. The seaside course offers sweeping views of the oceanfront as well as a challenging and diverse layout. Robert Trent Jones, Jr. designed the golf course, fully utilizing the dramatic bluffs and natural beauty of the landscape. The course offers small, rolling greens and tight fairways that are both kept in excellent condition. Strategically placed bunkers wait treacherously throughout the course and there are a number of tricky doglegs to watch out for. The course is on the shorter side but it is an excellent place to work on your iron game. Monarch Beach Golf Links' par-4 third hole is one of the most difficult. It plays along the ocean but don't let the views distract from the challenging green that is dramatically undulated.",https://www.golfpass.com/travel-advisor/xgo/15529,,,,,,
10057,Falls Course at Blackhawk Country Club,,https://www.golfpass.com/travel-advisor/xgo/3692,,,,,,
10058,Crow Canyon Country Club,,https://www.golfpass.com/travel-advisor/xgo/3693,,,,,,
10061,Dos Rios Golf Club,,https://www.golfpass.com/travel-advisor/xgo/15428,,,,,,
10063,Lake Tamarisk Golf Course,,https://www.golfpass.com/travel-advisor/xgo/3697,,,,,,
10065,Desert Crest Country Club,,https://www.golfpass.com/travel-advisor/xgo/16042,,,,,,
10067,Mission Lakes Country Club,,https://www.golfpass.com/travel-advisor/xgo/16043,,,,,,
10069,Diablo Country Club,,https://www.golfpass.com/travel-advisor/xgo/3700,,,,,,
10071,Dove Canyon Country Club,,https://www.golfpass.com/travel-advisor/xgo/15309,,,,,,
10074,Los Amigos Country Club,,https://www.golfpass.com/travel-advisor/xgo/140,,,,,,
10077,Muroc Lake Golf Course,,https://www.golfpass.com/travel-advisor/xgo/3703,,,,,,
10079,Oak Glen Course at Singing Hills Country Club At Sycuan,,,,,,,,
10081,Serrano Country Club,,https://www.golfpass.com/travel-advisor/xgo/3707,,,,,,
10084,Mira Vista Golf & Country Club,"Mira Vista CC opened in 1987 with a Tom Wieskopf/Jay Morrish design. The parkland-style layout rolls through hills of native grasses and wildflowers, sweeping around three lakes that spice up the course.The duo’s design isn’t overly long, playing only 7,020 yards from the tips, but it boasts three par 4s over 450 yards and several long par 5s, including the 647-yard No. 6. This monster doglegs left inside a cliff that runs along the right side. Out-of-bounds is left, and a fairway bunker resides about a lob wedge from the narrow green, which is bolstered from behind by more bunkers.No. 18 is one of the more interesting finishing holes that you’ll come across, featuring two dogleg fairways, one right and one left, that both involve dealing with the creek that splits the two routes. The tee shot right is more favorable, since it is void of fairway bunkers like the ones on the left side. However, this option involves carrying two bunkers and the creek on the approach.Getting there : From I-20 west, take the Bryant/Irvin Rd. exit and turn left. Drive 2.5 miles to the course. The entrance is on the right side of the street.",https://www.golfpass.com/travel-advisor/xgo/2918,,,,,,
10085,El Macero Country Club,,https://www.golfpass.com/travel-advisor/xgo/3710,,,,,,
10090,Valley Hi Country Club,,https://www.golfpass.com/travel-advisor/xgo/3709,,,,,,
10094,Escondido Country Club,,https://www.golfpass.com/travel-advisor/xgo/29617,,,,,,
10095,Meadow Lake Golf Club,,https://www.golfpass.com/travel-advisor/xgo/28492,,,,,,
10096,Castle Creek Country Club,,https://www.golfpass.com/travel-advisor/xgo/15289,,,,,,
10099,The Fountains Executive Course at Welk Resort - San Diego,"The Fountain is one of two 18-hole golf courses at the Welk Resort San Diego. The other course, the Oaks, is an 18-hole, par-3 course that is great short-game practice for all skill levels. Although the Fountain is an executive-length course, it is as formidable as most full-length golf courses. Even low handicappers will be tested by the narrow layout, which covers a variety of elevation changes that range from subtle to dramatic. In addition to a slew of strategically placed bunkers and trees that demand accuracy, water hazards also come into play on a few holes. There are many risk-reward opportunities throughout the course where good strategy will reap many benefits. The golf course has some tricky holes but it is not overly punishing, making it more approachable for a wide range of skill levels.",https://www.golfpass.com/travel-advisor/xgo/3714,,,,,,
10103,Meadow Club,,https://www.golfpass.com/travel-advisor/xgo/3718,,,,,,
10104,North Ridge Country Club,,https://www.golfpass.com/travel-advisor/xgo/3719,,,,,,
10106,Pala Mesa Resort,"Pala Mesa Golf Resort is situated between Temecula wine country and the beautiful countryside of San Diego's North County. The course was carefully carved from the surrounding hillsides, providing rolling fairways and undulating greens throughout the layout. Towering oaks, sycamores, and elms blanket the course's landscape, providing the perfect complement to the stunning mountain views. The fairways are tight and lined with trees, demanding a fair amount of accuracy. The greens also play fairly quick. The golf course does provide a challenging round but it is seemingly much tougher than it actually is. Beginners should still feel comfortable taking on the course. The versatile layout in combination with the consistently good conditions have earned Pala Mesa acclaim as one of the best golf courses in San Diego County.",https://www.golfpass.com/travel-advisor/xgo/15310,,,,,,
